phage_seqname	bact_access	dsDNAphage	ssDNA	RNA	NCLDV	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
NAHE01000027.1||full	NAHE01000027.1	0.86	0.327	0.13	0.9	0.213	0.9	NCLDV	2521	0	75	0
NAHE01000024.1||full	NAHE01000024.1	0.773	0.747	0.125	0.707	0.987	0.987	lavidaviridae	2686	0	66.7	0
NAHF01000020.1||full	NAHF01000020.1	0.32	0.833	0.12	0.967	0.98	0.98	lavidaviridae	1427	0	50	0
NAHF01000097.1||full	NAHF01000097.1	0.86	0	0	0.04	0	0.86	dsDNAphage	36548	8	31	31
NAHF01000117.1||full	NAHF01000117.1	0.967	0	0	0.073	0.007	0.967	dsDNAphage	88691	17	45.4	26.8
NAHF01000049.1||full	NAHF01000049.1	1	0.007	0	0.153	0.013	1	dsDNAphage	7869	1	26.7	6.7
NAHF01000032.1||full	NAHF01000032.1	0.753	0.327	0.02	0.887	0.38	0.887	NCLDV	3474	0	80	0
NAHF01000031.1||full	NAHF01000031.1	0.887	0.92	0.275	0.96	0.78	0.96	NCLDV	2612	0	66.7	0
NAHF01000028.1||full	NAHF01000028.1	0.213	0.113	0.165	0.72	0.587	0.72	NCLDV	2644	0	50	0
NAHG01000068.1||full	NAHG01000068.1	0.74	0.18	0.01	0.993	0.36	0.993	NCLDV	5401	0	71.4	0
NAHG01000066.1||full	NAHG01000066.1	0.673	0.013	0	0.487	0	0.673	dsDNAphage	5556	0	36.4	18.2
NAHG01000055.1||full	NAHG01000055.1	0.267	0.12	0.17	0.76	0.593	0.76	NCLDV	2644	0	50	0
NAHG01000049.1||full	NAHG01000049.1	0.9	0.94	0.34	0.793	0.8	0.94	ssDNA	2087	0	100	0
NAHG01000046.1||full	NAHG01000046.1	0.76	0.907	0.27	0.467	0.827	0.907	ssDNA	2408	0	100	0
NAHG01000040.1||full	NAHG01000040.1	0.273	0.087	0.3	0.613	0.507	0.613	NCLDV	2041	0	50	0
NAHG01000034.1||full	NAHG01000034.1	0.807	0.973	0.08	0.907	0.347	0.973	ssDNA	1258	0	100	0
NAHG01000031.1||full	NAHG01000031.1	1	0.967	0.065	0.913	0.26	1	dsDNAphage	1438	0	100	0
NAHG01000146.1||full	NAHG01000146.1	1	0.007	0.005	0.38	0.053	1	dsDNAphage	30344	8	50	5.3
NAHG01000139.1||full	NAHG01000139.1	0.98	0	0	0.107	0.047	0.98	dsDNAphage	26794	9	43.3	13.3
NAHG01000135.1||full	NAHG01000135.1	1	0.027	0	0.38	0.007	1	dsDNAphage	25659	10	59.5	16.2
NAHG01000121.1||full	NAHG01000121.1	0.96	0.027	0	0.2	0.027	0.96	dsDNAphage	15917	8	52.4	23.8
NAHG01000113.1||full	NAHG01000113.1	0.853	0.007	0	0.06	0.08	0.853	dsDNAphage	14202	1	38.5	23.1
NAHG01000107.1||full	NAHG01000107.1	0.587	0.007	0.005	0.08	0.547	0.587	dsDNAphage	12719	0	38.9	11.1
NAHG01000084.1||full	NAHG01000084.1	0.96	0.613	0.03	0.867	0.2	0.96	dsDNAphage	7241	0	53.8	0
NAHG01000075.1||full	NAHG01000075.1	1	0.72	0.12	0.48	0.553	1	dsDNAphage	6488	4	88.9	0
NAHH01000052.1||full	NAHH01000052.1	0.84	0	0	0.047	0	0.84	dsDNAphage	80451	8	27.9	17.4
NAHH01000041.1||full	NAHH01000041.1	1	0	0	0.087	0.02	1	dsDNAphage	40107	9	42.6	12.8
NAHH01000036.1||full	NAHH01000036.1	0.993	0.013	0	0.353	0.02	0.993	dsDNAphage	33294	14	63.8	14.9
NAHH01000025.1||full	NAHH01000025.1	0.847	0.013	0	0.727	0.027	0.847	dsDNAphage	12703	0	43.5	8.7
NAHH01000013.1||full	NAHH01000013.1	0.76	0.153	0.01	0.993	0.153	0.993	NCLDV	4402	0	66.7	0
NAHH01000007.1||full	NAHH01000007.1	0.813	0.927	0.125	0.867	0.34	0.927	ssDNA	1011	0	100	0
MDVB01000038.1||full	MDVB01000038.1	nan	nan	nan	0.947	nan	0.947	NCLDV	1075	0	33.3	0
MDVB01000053.1||full	MDVB01000053.1	0.907	0	0	0.047	0	0.907	dsDNAphage	86290	16	31	32.2
MDVB01000089.1||full	MDVB01000089.1	0.987	0.013	0	0.787	0.04	0.987	dsDNAphage	19843	8	56	8
MDVB01000115.1||full	MDVB01000115.1	0.327	0.153	0.42	0.727	0.173	0.727	NCLDV	2396	0	33.3	0
MDVC01000003.1||full	MDVC01000003.1	0.973	0	0	0.06	0	0.973	dsDNAphage	47741	7	29.4	16.2
MDVC01000006.1||full	MDVC01000006.1	0.967	0	0	0.473	0	0.967	dsDNAphage	34319	7	38.3	14.9
MDVC01000011.1||full	MDVC01000011.1	0.673	0.68	0.11	0.367	0.44	0.68	ssDNA	6524	0	40	0
MDVC01000012.1||full	MDVC01000012.1	0.593	0.013	0.01	0.06	0.087	0.593	dsDNAphage	7347	0	58.3	25
MDVC01000013.1||full	MDVC01000013.1	0.4	0.013	0.01	0.62	0.06	0.62	NCLDV	8369	0	21.4	14.3
MDVC01000057.1||full	MDVC01000057.1	0.887	0	0	0.02	0	0.887	dsDNAphage	79658	15	30.7	36
MDVC01000074.1||full	MDVC01000074.1	0.72	0.073	0.2	0.5	0.313	0.72	dsDNAphage	4666	0	50	0
MDVD01000002.1||full	MDVD01000002.1	0.973	0.007	0	0.48	0.027	0.973	dsDNAphage	53716	8	38	14.1
MDVD01000003.1||full	MDVD01000003.1	0.993	0.007	0	0.147	0.007	0.993	dsDNAphage	51275	14	48.2	5.9
MDVD01000028.1||full	MDVD01000028.1	0.72	0.993	0.23	0.907	0.96	0.993	ssDNA	1466	0	100	0
MDVD01000032.1||full	MDVD01000032.1	0.62	0.987	0.525	0.707	0.627	0.987	ssDNA	1313	0	50	0
MDVD01000057.1||full	MDVD01000057.1	0.9	0	0	0.02	0	0.9	dsDNAphage	87568	15	29.2	32.6
NAGW01000079.1||full	NAGW01000079.1	0.98	0.007	0	0.08	0.007	0.98	dsDNAphage	60669	9	37.7	14.5
NAGW01000077.1||full	NAGW01000077.1	1	0	0	0.647	0.04	1	dsDNAphage	55211	14	47.5	7.5
NAGW01000084.1||full	NAGW01000084.1	0.9	0	0	0.027	0	0.9	dsDNAphage	69390	8	24.7	38.4
NAGW01000019.1||full	NAGW01000019.1	0.333	0.807	0.11	1	0.96	1	NCLDV	1618	0	33.3	0
NAGW01000016.1||full	NAGW01000016.1	0.493	0.86	0.335	0.92	0.687	0.92	NCLDV	1343	0	33.3	0
MVDP01000053.1||full	MVDP01000053.1	0.98	0.007	0	0.08	0.007	0.98	dsDNAphage	60669	9	37.7	14.5
MVDP01000049.1||full	MVDP01000049.1	0.973	0.02	0	0.62	0.033	0.973	dsDNAphage	52938	14	49.4	7.8
MVDP01000015.1||full	MVDP01000015.1	0.473	0.493	0.425	nan	1	1	lavidaviridae	2407	0	50	0
MVDP01000013.1||full	MVDP01000013.1	0.987	0.953	0.18	0.907	0.487	0.987	dsDNAphage	1321	0	100	0
NXEN01000041.1||full	NXEN01000041.1	0.967	0.007	0	0.073	0.273	0.967	dsDNAphage	45512	9	43.5	9.7
NXEN01000126.1||full	NXEN01000126.1	0.06	0.013	0.115	0.94	0.353	0.94	NCLDV	4555	0	20	0
NXEN01000129.1||full	NXEN01000129.1	0.293	0.76	0.495	0.673	0.68	0.76	ssDNA	1790	0	33.3	0
QGLS01000008.1||full	QGLS01000008.1	0.86	0	0	0.033	0	0.86	dsDNAphage	189211	15	25	27.1
MDVE01000005.1||full	MDVE01000005.1	1	0.08	0	0.273	0.013	1	dsDNAphage	5031	3	62.5	12.5
MDVE01000006.1||full	MDVE01000006.1	0.84	0.12	0.155	0.6	0.107	0.84	dsDNAphage	4033	0	37.5	0
MDVE01000007.1||full	MDVE01000007.1	0.76	0.087	0.165	0.413	0.16	0.76	dsDNAphage	4400	0	37.5	0
MDVE01000008.1||full	MDVE01000008.1	0.727	0.867	0.05	0.667	0.513	0.867	ssDNA	3456	0	50	0
MDVE01000010.1||full	MDVE01000010.1	0.84	0.927	0.1	0.8	0.427	0.927	ssDNA	1911	0	66.7	0
MDVE01000011.1||full	MDVE01000011.1	0.993	0.993	0.34	0.333	0.347	0.993	dsDNAphage	2438	2	50	0
MDVE01000014.1||full	MDVE01000014.1	0.947	1	0.345	0.593	0.853	1	ssDNA	1695	0	100	0
MDVE01000026.1||full	MDVE01000026.1	0.68	0.08	0	0.747	0.44	0.747	NCLDV	10935	0	26.3	10.5
MDVE01000039.1||full	MDVE01000039.1	0.833	0.133	0.17	0.673	0.947	0.947	lavidaviridae	6925	0	38.5	0
MDVE01000044.1||full	MDVE01000044.1	0.353	0.907	0.315	0.773	0.68	0.907	ssDNA	2194	0	33.3	0
MDVE01000047.1||full	MDVE01000047.1	0.387	0.94	0.54	0.54	0.66	0.94	ssDNA	1577	0	33.3	0
MDVE01000058.1||full	MDVE01000058.1	0.88	0	0	0.047	0	0.88	dsDNAphage	209958	19	26.1	32
MDVE01000060.1||full	MDVE01000060.1	1	0.08	0.07	0.827	0.207	1	dsDNAphage	12370	5	80	0
MDVE01000062.1||full	MDVE01000062.1	0.807	0.04	0.275	0.727	0.193	0.807	dsDNAphage	4910	1	25	0
MDVF01000003.1||full	MDVF01000003.1	0.94	0	0	0.027	0	0.94	dsDNAphage	66966	10	38.4	15.1
MDVF01000023.1||full	MDVF01000023.1	0.92	0	0	0.04	0.147	0.92	dsDNAphage	46673	5	31.8	15.9
MDVF01000027.1||full	MDVF01000027.1	0.06	0	0	0.707	0.06	0.707	NCLDV	13692	0	33.3	16.7
MDVG01000049.1||full	MDVG01000049.1	0.987	0	0	0.167	0.013	0.987	dsDNAphage	36329	8	52.4	7.1
MDVG01000056.1||full	MDVG01000056.1	0.407	0.047	0	0.66	0.16	0.66	NCLDV	1605	0	66.7	33.3
MDVH01000014.1||full	MDVH01000014.1	0.827	0.207	0	0.273	0.027	0.827	dsDNAphage	2316	0	50	33.3
MDVH01000017.1||full	MDVH01000017.1	0.92	0.92	0.22	0.38	0.187	0.92	dsDNAphage	2961	0	66.7	0
MDVH01000019.1||full	MDVH01000019.1	1	1	0.16	0.3	0.18	1	dsDNAphage	1838	0	80	0
MDVH01000036.1||full	MDVH01000036.1	1	0	0	0.327	0.027	1	dsDNAphage	29746	9	64.9	2.7
MDVH01000038.1||full	MDVH01000038.1	0.993	0	0	0.187	0.007	0.993	dsDNAphage	17813	2	36.4	9.1
MDVH01000044.1||full	MDVH01000044.1	0.64	0.08	0.02	0.067	0.2	0.64	dsDNAphage	3365	0	42.9	14.3
MDVH01000045.1||full	MDVH01000045.1	0.807	0	0	0.06	0	0.807	dsDNAphage	31584	3	26.3	28.9
MDVH01000051.1||full	MDVH01000051.1	0.933	0	0	0.047	0	0.933	dsDNAphage	82887	13	36.6	28
MDVI01000011.1||full	MDVI01000011.1	0.993	0.013	0	0.213	0.04	0.993	dsDNAphage	32306	9	65.9	2.4
MDVI01000014.1||full	MDVI01000014.1	0.827	0.207	0	0.273	0.027	0.827	dsDNAphage	2310	0	50	33.3
MDVI01000017.1||full	MDVI01000017.1	0.993	0	0	0.187	0.007	0.993	dsDNAphage	17798	2	36.4	9.1
MDVI01000035.1||full	MDVI01000035.1	0.933	0	0	0.047	0	0.933	dsDNAphage	83666	13	36.2	27.7
MDUY01000016.1||full	MDUY01000016.1	1	0.013	0	0.247	0.033	1	dsDNAphage	38379	9	50.9	1.8
MDUY01000023.1||full	MDUY01000023.1	1	0	0.01	0.187	0.02	1	dsDNAphage	18384	2	41.7	8.3
MDUY01000030.1||full	MDUY01000030.1	1	0.84	0.395	0.527	0.507	1	dsDNAphage	5554	3	100	0
MDUY01000045.1||full	MDUY01000045.1	0.78	0.987	0.795	0.693	0.933	0.987	ssDNA	1576	0	33.3	0
MDVJ01000004.1||full	MDVJ01000004.1	1	0.007	0	0.253	0.033	1	dsDNAphage	40923	9	54.2	1.7
MDVJ01000005.1||full	MDVJ01000005.1	1	0.007	0	0.187	0.02	1	dsDNAphage	20092	3	50	7.7
MEIU01000005.1||full	MEIU01000005.1	0.92	0	0	0.247	0.013	0.92	dsDNAphage	27429	1	33.3	17.9
MEIU01000010.1||full	MEIU01000010.1	0.993	0.44	0.305	0.487	0.46	0.993	dsDNAphage	10293	6	63.6	0
MEIU01000023.1||full	MEIU01000023.1	0.5	0.82	0.135	0.833	0.227	0.833	NCLDV	1296	0	50	0
MEIU01000027.1||full	MEIU01000027.1	1	0.94	0.3	0.547	0.387	1	dsDNAphage	2148	3	100	0
MEIU01000044.1||full	MEIU01000044.1	0.847	0.993	0.15	0.88	0.933	0.993	ssDNA	2336	0	60	0
MEIU01000056.1||full	MEIU01000056.1	1	0.48	0.385	0.593	0.593	1	dsDNAphage	8147	3	50	0
MEIT01000031.1||full	MEIT01000031.1	1	0.973	0.25	0.553	0.267	1	dsDNAphage	2010	3	100	0
MEIT01000055.1||full	MEIT01000055.1	1	0.493	0.24	0.773	0.587	1	dsDNAphage	7426	4	55.6	0
MEIT01000056.1||full	MEIT01000056.1	0.847	0.573	0.225	0.84	1	1	lavidaviridae	5148	0	40	0
MEIT01000065.1||full	MEIT01000065.1	1	0.32	0.21	0.487	0.447	1	dsDNAphage	12660	8	71.4	0
MEIT01000075.1||full	MEIT01000075.1	0.8	0.9	0.67	0.507	0.993	0.993	lavidaviridae	2113	0	33.3	0
MEIT01000100.1||full	MEIT01000100.1	0.907	0	0	0.04	0.007	0.907	dsDNAphage	51676	6	38.6	24.6
MEIX01000059.1||full	MEIX01000059.1	0.707	0.34	0.025	0.987	0.54	0.987	NCLDV	3489	0	80	0
MEIX01000067.1||full	MEIX01000067.1	0.993	0.027	0	0.507	0.047	0.993	dsDNAphage	31001	16	83.7	11.6
MEIX01000085.1||full	MEIX01000085.1	0.647	0.933	0.18	0.92	0.46	0.933	ssDNA	2607	0	66.7	0
MEIX01000091.1||full	MEIX01000091.1	0.84	0	0	0.04	0	0.84	dsDNAphage	106538	10	23.8	25.7
NAHQ01000028.1||full	NAHQ01000028.1	0.813	0.327	0.1	0.913	0.267	0.913	NCLDV	2490	0	75	0
NAHQ01000026.1||full	NAHQ01000026.1	0.527	0.867	0.245	0.98	0.6	0.98	NCLDV	1989	0	25	0
NAHQ01000094.1||full	NAHQ01000094.1	0.927	0	0	0.113	0.007	0.927	dsDNAphage	26242	2	34.4	18.8
NAHQ01000093.1||full	NAHQ01000093.1	1	0.007	0	0.127	0.06	1	dsDNAphage	25928	8	53.1	3.1
NAHK01000128.1||full	NAHK01000128.1	0.927	0	0	0.033	0	0.927	dsDNAphage	68247	8	23.4	36.4
NAHK01000087.1||full	NAHK01000087.1	1	0.013	0	0.58	0.027	1	dsDNAphage	20178	10	73.9	8.7
NAHK01000076.1||full	NAHK01000076.1	0.967	0.027	0	0.58	0.027	0.967	dsDNAphage	15311	5	73.9	4.3
NAHK01000038.1||full	NAHK01000038.1	0.32	0.573	0.36	0.867	0.633	0.867	NCLDV	2936	0	25	0
NAHL01000098.1||full	NAHL01000098.1	0.94	0	0	0.02	0	0.94	dsDNAphage	82077	10	29.8	25
NAHL01000055.1||full	NAHL01000055.1	0.973	0.013	0	0.287	0.027	0.973	dsDNAphage	19298	8	60	20
NAHL01000022.1||full	NAHL01000022.1	0.893	0.933	0.19	0.553	0.78	0.933	ssDNA	3455	0	75	0
NAHL01000017.1||full	NAHL01000017.1	0.513	0.82	0.135	0.94	0.847	0.94	NCLDV	2747	0	66.7	0
NAHM01000052.1||full	NAHM01000052.1	0.9	0	0	0.113	0.02	0.9	dsDNAphage	42379	2	32.4	23.5
NAHM01000034.1||full	NAHM01000034.1	0.98	0.027	0	0.26	0.02	0.98	dsDNAphage	17144	8	63.6	22.7
NAHM01000009.1||full	NAHM01000009.1	0.18	0.167	0.045	0.96	0.507	0.96	NCLDV	1856	0	50	0
NAHN01000070.1||full	NAHN01000070.1	0.98	0	0	0.4	0.033	0.98	dsDNAphage	71644	15	49.5	11.8
NAHN01000019.1||full	NAHN01000019.1	0.867	0.347	0.12	0.9	0.227	0.9	NCLDV	2523	0	75	0
NAHO01000019.1||full	NAHO01000019.1	0.9	0	0	0.113	0.02	0.9	dsDNAphage	42349	2	32.4	23.5
NAHO01000006.1||full	NAHO01000006.1	0.78	0.307	0.02	0.987	0.367	0.987	NCLDV	3476	0	80	0
NAHP01000076.1||full	NAHP01000076.1	0.827	0	0	0.033	0	0.827	dsDNAphage	140070	10	25.6	26.3
NAHP01000036.1||full	NAHP01000036.1	0.967	0.013	0	0.2	0.02	0.967	dsDNAphage	14857	8	57.9	26.3
NAHP01000017.1||full	NAHP01000017.1	0.78	0.307	0.02	0.987	0.367	0.987	NCLDV	3476	0	80	0
NAHI01000015.1||full	NAHI01000015.1	0.32	0.06	0.11	0.76	0.767	0.767	lavidaviridae	3760	0	25	0
NAHI01000012.1||full	NAHI01000012.1	0.78	0.307	0.02	0.987	0.367	0.987	NCLDV	3476	0	80	0
NAHJ01000014.1||full	NAHJ01000014.1	0.82	0.327	0.02	0.987	0.26	0.987	NCLDV	3468	0	80	0
NAHJ01000054.1||full	NAHJ01000054.1	0.987	0.007	0	0.327	0.013	0.987	dsDNAphage	79095	24	55.9	9.9
MEIS01000016.1||full	MEIS01000016.1	0.567	0.187	0.02	nan	0.167	0.567	dsDNAphage	1713	0	50	25
MEIS01000054.1||full	MEIS01000054.1	0.853	0	0	0.013	0	0.853	dsDNAphage	78884	16	27.7	33.7
MEIS01000055.1||full	MEIS01000055.1	0.993	0.007	0	0.093	0.007	0.993	dsDNAphage	47950	15	53.1	15.6
MEIS01000083.1||full	MEIS01000083.1	0.973	0	0.05	0.407	0.127	0.973	dsDNAphage	11607	2	33.3	8.3
MEIS01000086.1||full	MEIS01000086.1	0.98	0.007	0.045	0.427	0.133	0.98	dsDNAphage	11352	2	33.3	8.3
MEIS01000098.1||full	MEIS01000098.1	0.927	0.093	0.045	0.687	0.18	0.927	dsDNAphage	9923	0	31.6	0
MEIS01000110.1||full	MEIS01000110.1	0.893	0	0	0.107	0	0.893	dsDNAphage	62410	3	24.7	22.1
MEIS01000117.1||full	MEIS01000117.1	0.82	0	0	0.047	0	0.82	dsDNAphage	75456	8	24.1	16.9
MEIS01000118.1||full	MEIS01000118.1	0.827	0	0	0.04	0	0.827	dsDNAphage	120496	7	23.1	35.9
MEIR01000008.1||full	MEIR01000008.1	0.8	0.96	0.3	0.86	0.847	0.96	ssDNA	4600	0	100	0
MEIR01000051.1||full	MEIR01000051.1	0.32	0.067	0.16	0.767	0.373	0.767	NCLDV	2611	0	33.3	0
MEIR01000077.1||full	MEIR01000077.1	0.873	0	0	0.007	0	0.873	dsDNAphage	82427	16	27.6	32.2
MEIR01000081.1||full	MEIR01000081.1	0.913	0	0	0.087	0.007	0.913	dsDNAphage	105405	9	32.8	26.9
MEIR01000087.1||full	MEIR01000087.1	0.36	0.093	0.205	0.893	0.667	0.893	NCLDV	2260	0	33.3	0
MEIQ01000008.1||full	MEIQ01000008.1	0.847	0.673	0.37	0.547	0.327	0.847	dsDNAphage	4136	0	7.1	0
MEIQ01000015.1||full	MEIQ01000015.1	0.527	0.16	0.06	0.013	0.1	0.527	dsDNAphage	1569	0	60	20
MEIV01000053.1||full	MEIV01000053.1	0.907	0	0	0.02	0.007	0.907	dsDNAphage	174396	16	29.3	19.9
MEIW01000002.1||full	MEIW01000002.1	0.193	0.1	0.18	0.74	0.627	0.74	NCLDV	2643	0	50	0
MEIW01000012.1||full	MEIW01000012.1	0.213	0	0.015	0.96	0.78	0.96	NCLDV	7528	0	28.6	14.3
MEIW01000094.1||full	MEIW01000094.1	0.433	0.067	0.045	0.947	0.347	0.947	NCLDV	14756	0	55.6	0
MEIW01000122.1||full	MEIW01000122.1	0.967	0	0	0.06	0.013	0.967	dsDNAphage	102114	16	37.7	18
MDUZ01000080.1||full	MDUZ01000080.1	0.993	0.073	0.605	0.473	0.42	0.993	dsDNAphage	8717	1	16.7	0
MDUZ01000088.1||full	MDUZ01000088.1	0.88	0.58	0.255	0.853	1	1	lavidaviridae	5365	0	28.6	0
MDUZ01000093.1||full	MDUZ01000093.1	0.987	0.86	0.32	0.607	0.56	0.987	dsDNAphage	4359	3	80	0
MDUZ01000102.1||full	MDUZ01000102.1	0.993	0.913	0.22	0.5	0.42	0.993	dsDNAphage	3571	3	57.1	0
MDUZ01000105.1||full	MDUZ01000105.1	1	1	0.14	0.447	0.287	1	dsDNAphage	2963	4	83.3	0
MDUZ01000110.1||full	MDUZ01000110.1	1	0.987	0.135	0.427	0.273	1	dsDNAphage	2512	4	83.3	0
MDUZ01000113.1||full	MDUZ01000113.1	1	1	0.13	0.627	0.247	1	dsDNAphage	1823	3	80	0
MDUZ01000116.1||full	MDUZ01000116.1	0.967	1	0.455	0.567	0.753	1	ssDNA	1349	0	66.7	0
MDUZ01000118.1||full	MDUZ01000118.1	0.867	0	0	0.047	0	0.867	dsDNAphage	107492	16	27.6	37.1
MEIP01000011.1||full	MEIP01000011.1	0.86	0	0	0.04	0	0.86	dsDNAphage	113011	14	31.9	26.9
MEIP01000027.1||full	MEIP01000027.1	0.86	0	0	0.1	0	0.86	dsDNAphage	17498	0	27.3	6.1
AVQL01000338.1||full	AVQL01000338.1	0.26	0.167	0.56	0.487	0.44	0.56	RNA	1691	0	33.3	0
AVQL01000365.1||full	AVQL01000365.1	1	1	0.16	0.487	0.24	1	dsDNAphage	2451	2	100	0
AVQL01000368.1||full	AVQL01000368.1	0.36	0.66	0.085	0.967	0.907	0.967	NCLDV	2537	0	25	0
AVQL01000392.1||full	AVQL01000392.1	0.107	0.1	0.075	0.793	0.133	0.793	NCLDV	3916	0	33.3	0
AVQL01000409.1||full	AVQL01000409.1	0.16	0.033	0.155	0.833	0.427	0.833	NCLDV	6944	0	20	0
AVQL01000428.1||full	AVQL01000428.1	0.887	0	0	0.06	0.013	0.887	dsDNAphage	20887	6	37.5	29.2
AVQL01000451.1||full	AVQL01000451.1	0.96	0	0	0.04	0.027	0.96	dsDNAphage	69894	9	40	11.4
JAIL01000155.1||full	JAIL01000155.1	0.38	0.107	0.06	0.967	0.32	0.967	NCLDV	1423	0	50	0
JAIL01000178.1||full	JAIL01000178.1	0.233	0.3	0.4	0.76	0.107	0.76	NCLDV	2099	0	33.3	0
JAIL01000184.1||full	JAIL01000184.1	0.353	0.093	0.385	0.52	0.62	0.62	lavidaviridae	2400	0	33.3	0
JAIL01000199.1||full	JAIL01000199.1	0.86	0.907	0.09	0.313	0.267	0.907	ssDNA	2872	0	40	0
JAIL01000218.1||full	JAIL01000218.1	0.28	0	0.005	0.673	0.387	0.673	NCLDV	7337	0	40	20
JAIL01000227.1||full	JAIL01000227.1	1	0.827	0.155	0.48	0.887	1	dsDNAphage	10199	6	70.6	0
JAIL01000246.1||full	JAIL01000246.1	0.987	0.02	0	0.107	0.367	0.987	dsDNAphage	33676	2	53.7	9.8
JAIL01000254.1||full	JAIL01000254.1	0.72	0	0	0.06	0.007	0.72	dsDNAphage	58466	3	30.8	23.1
JAIK01000309.1||full	JAIK01000309.1	0.38	0.14	0.23	0.867	0.053	0.867	NCLDV	1718	0	33.3	0
JAIK01000345.1||full	JAIK01000345.1	0.593	0.907	0.155	0.52	0.98	0.98	lavidaviridae	3230	0	66.7	0
JAIK01000360.1||full	JAIK01000360.1	0.573	0.087	0	0.527	0.64	0.64	lavidaviridae	5585	0	20	10
JAIK01000363.1||full	JAIK01000363.1	0.66	0.107	0.065	0.773	0.133	0.773	NCLDV	5669	0	9.1	0
JAIK01000388.1||full	JAIK01000388.1	0.953	0.02	0.005	0.147	0.187	0.953	dsDNAphage	31916	15	52.4	21.4
JACG01000005.1||full	JACG01000005.1	0.867	0	0	0.013	0	0.867	dsDNAphage	45927	6	24	32
JACG01000027.1||full	JACG01000027.1	1	0.08	0	0.813	0.04	1	dsDNAphage	11469	3	82.4	11.8
JACG01000042.1||full	JACG01000042.1	0.06	0.007	0.01	0.633	0.053	0.633	NCLDV	6080	0	33.3	16.7
JACG01000044.1||full	JACG01000044.1	0.46	0.653	0.165	0.96	0.98	0.98	lavidaviridae	3663	0	33.3	0
JACG01000055.1||full	JACG01000055.1	0.727	0.973	0.275	0.693	0.993	0.993	lavidaviridae	3502	0	66.7	0
JACG01000058.1||full	JACG01000058.1	0.98	0.987	0.245	0.48	0.273	0.987	ssDNA	2943	0	100	0
JACG01000067.1||full	JACG01000067.1	1	1	0.29	0.147	0.633	1	dsDNAphage	2360	3	100	0
JACG01000070.1||full	JACG01000070.1	nan	nan	nan	0.7	nan	0.7	NCLDV	2266	0	50	0
JACG01000071.1||full	JACG01000071.1	0.42	0.107	0.305	0.547	0.093	0.547	NCLDV	2189	0	25	0
JACG01000086.1||full	JACG01000086.1	0.487	0.313	0.14	0.673	0.087	0.673	NCLDV	1706	0	33.3	0
JACG01000091.1||full	JACG01000091.1	0.953	0.993	0.225	0.833	0.967	0.993	ssDNA	1630	0	66.7	0
MDVA01000013.1||full	MDVA01000013.1	1	0.02	0.005	0.133	0.06	1	dsDNAphage	29878	12	58.1	7
MDVA01000024.1||full	MDVA01000024.1	0.14	0.007	0	0.86	0.307	0.86	NCLDV	10392	0	25	8.3
MDVA01000039.1||full	MDVA01000039.1	0.84	0	0	0.08	0	0.84	dsDNAphage	180371	16	25	22.3
MEIO01000005.1||full	MEIO01000005.1	0.813	0.98	0.205	0.933	0.98	0.98	ssDNA	1564	0	50	0
MEIO01000028.1||full	MEIO01000028.1	0.893	0	0	0.027	0	0.893	dsDNAphage	91750	16	32.2	35.6
MEIO01000031.1||full	MEIO01000031.1	0.993	0.027	0.05	0.387	0.167	0.993	dsDNAphage	29814	7	37.7	0
MEIO01000059.1||full	MEIO01000059.1	0.733	0	0	0.073	0.127	0.733	dsDNAphage	37750	1	36.4	18.2
MEIO01000063.1||full	MEIO01000063.1	0.993	0.02	0	0.233	0.013	0.993	dsDNAphage	34310	10	56	4
JFZW01000009.1||full	JFZW01000009.1	0.813	0	0	0.033	0.007	0.813	dsDNAphage	53501	3	18.6	18.6
JFZW01000013.1||full	JFZW01000013.1	0.813	0	0	0.067	0.007	0.813	dsDNAphage	29265	3	25.7	22.9
JFZW01000020.1||full	JFZW01000020.1	0.42	0.58	0.195	0.36	0.747	0.747	lavidaviridae	2346	0	25	0
MEIM01000009.1||full	MEIM01000009.1	0.993	0.213	0.125	0.593	0.207	0.993	dsDNAphage	14018	6	76.2	0
MEIM01000010.1||full	MEIM01000010.1	0.993	0.98	0.325	0.26	0.467	0.993	dsDNAphage	3105	3	100	0
JFZV01000010.1||full	JFZV01000010.1	0.853	0	0	0.14	0.007	0.853	dsDNAphage	63673	3	21.1	16.9
JFZV01000012.1||full	JFZV01000012.1	0.993	0	0	0.167	0.007	0.993	dsDNAphage	48511	9	44.3	6.6
JFZV01000019.1||full	JFZV01000019.1	0.993	0	0	0.147	0.007	0.993	dsDNAphage	17088	2	35	10
JFZV01000025.1||full	JFZV01000025.1	1	0.84	0.395	0.527	0.507	1	dsDNAphage	5554	3	100	0
JFZV01000039.1||full	JFZV01000039.1	0.327	0.127	0.16	0.813	0.407	0.813	NCLDV	1865	0	33.3	0
JFZV01000050.1||full	JFZV01000050.1	0.613	0.887	0.475	nan	0.96	0.96	lavidaviridae	1675	0	25	0
MEIK01000002.1||full	MEIK01000002.1	0.987	0	0	0.187	0.007	0.987	dsDNAphage	40187	8	47.3	5.5
MEII01000011.1||full	MEII01000011.1	0.967	0	0	0.047	0.007	0.967	dsDNAphage	74417	10	41.5	15.9
MEIN01000013.1||full	MEIN01000013.1	0.993	0.02	0	0.247	0.047	0.993	dsDNAphage	37502	16	77.8	13
